,index,cluster,dists,n,e_num,GO_terms
14,395,"('AT3G23220', 'AT5G62020', 'AT5G05550', 'AT5G47220', 'AT5G61850', 'AT5G51990', 'AT3G10030', 'AT5G11510', 'AT5G45300', 'AT5G23930', 'AT5G18450', 'AT1G01250', 'AT1G77200', 'AT4G16750', 'AT2G45420', 'AT3G15210', 'AT1G53170', 'AT1G75080', 'AT1G03800', 'AT1G19210', 'AT1G01720')",0.07995399797788515,21,3,"[('GO:0009873', 'ethylene-activated signaling pathway'), ('GO:0009864', 'induced systemic resistance, jasmonic acid mediated signaling pathway'), ('GO:0005622', 'intracellular anatomical structure')]"
15,523,"('AT1G54760', 'AT3G46090', 'AT1G77570', 'AT4G26150', 'AT5G26630', 'AT2G01430', 'AT1G60880', 'AT5G07580', 'AT4G31550', 'AT1G51950', 'AT5G02840', 'AT1G19350', 'AT2G02540')",0.36715955025887587,13,3,"[('GO:0000978', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding'), ('GO:0006357', 'regulation of transcription by RNA polymerase II'), ('GO:0000981', 'DNA-binding transcription factor activity, RNA polymerase II-specific')]"
16,559,"('AT3G57230', 'AT1G08970', 'AT2G41070', 'AT5G48150', 'AT1G63910', 'AT3G54810', 'AT2G29660', 'AT3G55560', 'AT4G35390')",0.6838747811854579,9,3,"[('GO:0003680', 'minor groove of adenine-thymine-rich DNA binding'), ('GO:0005576', 'extracellular region'), ('GO:0009738', 'abscisic acid-activated signaling pathway')]"
17,254,"('AT1G63030', 'AT4G16150', 'AT2G40740', 'AT1G12610', 'AT1G52880', 'AT1G30650', 'AT1G29280')",0.04387469294581769,7,3,"[('GO:0010371', 'regulation of gibberellin biosynthetic process'), ('GO:0048510', 'regulation of timing of transition from vegetative to reproductive phase'), ('GO:0009408', 'response to heat')]"
18,295,"('AT3G27010', 'AT3G56850', 'AT1G16490', 'AT1G79180', 'AT1G06180', 'AT1G49480', 'AT1G35460')",0.050168322727219855,7,3,"[('GO:0009809', 'lignin biosynthetic process'), ('GO:2000652', 'regulation of secondary cell wall biogenesis'), ('GO:0000987', 'cis-regulatory region sequence-specific DNA binding')]"
19,440,"('AT1G49010', 'AT1G54330', 'AT3G09600', 'AT5G06960', 'AT3G18990', 'AT4G32730', 'AT2G38470', 'AT5G19790', 'AT2G45410', 'AT5G60130', 'AT2G02820', 'AT3G26620', 'AT4G01540', 'AT1G28160', 'AT1G74480', 'AT3G30210', 'AT4G36780', 'AT5G47230', 'AT5G45580', 'AT5G63090', 'AT1G71450', 'AT5G47390', 'AT2G04038', 'AT3G01530', 'AT4G25480', 'AT1G02230', 'AT1G79580', 'AT3G24120', 'AT3G24520', 'AT3G42860', 'AT5G10030')",0.1310127217121836,31,2,"[('GO:0001216', 'DNA-binding transcription activator activity'), ('GO:0010628', 'positive regulation of gene expression')]"
20,515,"('AT5G63790', 'AT2G22840', 'AT4G35040', 'AT1G77450', 'AT5G60200', 'AT1G51600', 'AT5G62610', 'AT3G61850', 'AT1G62990', 'AT1G64620', 'AT5G14750', 'AT2G26150', 'AT4G28140')",0.31962165429664585,13,2,"[('GO:0000976', 'transcription cis-regulatory region binding'), ('GO:0001666', 'response to hypoxia')]"
21,324,"('AT4G17980', 'AT2G18060', 'AT1G19040', 'AT4G28500', 'AT2G42200', 'AT1G02250', 'AT3G15170', 'AT4G01550', 'AT1G65910', 'AT3G10480', 'AT3G55370')",0.0556173251762118,11,2,"[('GO:0010228', 'vegetative to reproductive phase transition of meristem'), ('GO:0005886', 'plasma membrane')]"
22,398,"('AT4G00250', 'AT1G13450', 'AT2G35530', 'AT5G09410', 'AT5G56110', 'AT2G36010', 'AT5G05790', 'AT5G08750', 'AT5G63260', 'AT4G26030', 'AT4G31060', 'AT3G12250', 'AT5G02320', 'AT1G43700', 'AT4G26640')",0.08509140494055549,15,1,"[('GO:0003682', 'chromatin binding')]"
23,552,"('AT4G01120', 'AT1G22985', 'AT4G17460', 'AT4G17570', 'AT4G32890', 'AT1G34310', 'AT4G25210', 'AT4G34990', 'AT3G17100')",0.5650639772481736,9,1,"[('GO:0000976', 'transcription cis-regulatory region binding')]"
24,67,"('AT3G28920', 'AT5G39760', 'AT1G75240', 'AT5G65410', 'AT2G18350')",0.028181229899614326,5,1,"[('GO:0042803', 'protein homodimerization activity')]"
25,131,"('AT3G23030', 'AT1G64380', 'AT4G37750', 'AT4G23750', 'AT2G46530')",0.03277036466439935,5,1,"[('GO:0042802', 'identical protein binding')]"
26,215,"('AT5G52830', 'AT2G03340', 'AT5G65130', 'AT1G77920', 'AT2G43000')",0.0398828910997526,5,1,"[('GO:0042742', 'defense response to bacterium')]"
27,282,"('AT5G52020', 'AT5G52660', 'AT3G27920', 'AT1G20910')",0.04755840551889283,4,1,"[('GO:0019760', 'glucosinolate metabolic process')]"
28,192,"('AT5G61620', 'AT3G60580', 'AT3G11280')",0.03848825728887279,3,1,"[('GO:0009739', 'response to gibberellin')]"
29,337,"('AT1G24030', 'AT3G12270', 'AT3G16770')",0.058148581176987756,3,1,"[('GO:0005737', 'cytoplasm')]"
30,550,"('AT4G09820', 'AT3G15500')",0.5487419988071152,2,1,"[('GO:0009867', 'jasmonic acid mediated signaling pathway')]"
